id,tested_positive
0,21.283
1,25.443007
2,26.041445
3,22.639328
4,22.045616
5,22.756079
6,23.248365
7,24.759256
8,25.479727
9,25.834637
10,27.08726
11,27.16214
12,26.346642
13,25.450449
14,13.245778
15,12.477739
16,15.181989
17,19.712063
18,15.762409
19,16.838326
20,17.706516
21,19.851997
22,19.879349
23,18.931746
24,16.184467
25,16.303976
26,17.506544
27,17.18381
28,14.952771
29,13.785046
30,12.806881
31,12.371209
32,11.548758
33,11.967694
34,11.823516
35,11.462777
36,11.905124
37,12.00032
38,12.079005
39,13.373959
40,13.284235
41,13.218209
42,22.135027
43,23.013046
44,25.064306
45,24.848623
46,24.266434
47,24.80386
48,25.609154
49,25.074938
50,24.378536
51,24.251236
52,24.205088
53,24.209003
54,24.28964
55,24.732502
56,8.627726
57,9.115509
58,9.856901
59,8.540127
60,8.146297
61,8.406032
62,7.7370634
63,7.651142
64,7.621554
65,7.5005975
66,8.182989
67,9.112579
68,9.79704
69,10.29923
70,17.588406
71,17.487335
72,18.904469
73,21.527271
74,20.317644
75,19.460062
76,20.589972
77,21.182783
78,21.842642
79,22.402393
80,20.554909
81,20.630144
82,19.456131
83,21.204683
84,11.585678
85,11.433673
86,9.732136
87,10.7208185
88,11.038343
89,9.621929
90,9.571103
91,8.959175
92,9.699603
93,9.977442
94,9.761465
95,10.177962
96,10.220134
97,11.217243
98,10.584717
99,11.199254
100,12.646013
101,13.2007265
102,14.425981
103,13.99397
104,13.917692
105,13.653001
106,13.953405
107,14.156137
108,14.165052
109,13.665016
110,13.28934
111,14.277264
112,13.855832
113,13.860855
114,15.234537
115,16.25514
116,16.854086
117,17.35639
118,17.861502
119,17.043993
120,16.198526
121,15.352306
122,15.628288
123,15.008112
124,13.531715
125,11.95458
126,29.023165
127,32.771782
128,30.812408
129,32.127186
130,33.99534
131,34.598495
132,34.251183
133,33.9037
134,35.057392
135,37.611584
136,36.6321
137,38.324535
138,40.613686
139,41.043835
140,22.615934
141,23.925117
142,24.64547
143,24.447256
144,24.591953
145,25.679577
146,25.165754
147,24.856487
148,24.686693
149,25.780754
150,25.457886
151,24.533226
152,24.763483
153,25.460762
154,20.990822
155,22.615776
156,23.549976
157,22.782251
158,25.358265
159,25.088959
160,24.54319
161,24.509483
162,24.440731
163,26.273697
164,26.340204
165,25.22256
166,24.414526
167,23.271503
168,34.814053
169,35.63573
170,33.86781
171,32.901466
172,33.433002
173,33.98645
174,34.644554
175,36.098988
176,37.414993
177,37.897655
178,38.80351
179,37.52744
180,37.97104
181,36.032425
182,29.621704
183,33.046436
184,34.15309
185,34.919487
186,33.548244
187,32.91769
188,34.571358
189,33.887035
190,33.169292
191,32.40519
192,30.883875
193,31.307175
194,32.118507
195,33.250668
196,14.85339
197,14.861837
198,15.05427
199,16.481552
200,15.644531
201,15.742731
202,15.014938
203,15.140584
204,15.878716
205,15.981124
206,16.599417
207,16.740675
208,16.757416
209,18.806074
210,20.293959
211,18.840017
212,20.635149
213,21.478958
214,19.629147
215,19.70265
216,19.636198
217,18.782091
218,20.50594
219,21.13225
220,20.088251
221,20.043644
222,19.816051
223,19.18139
224,10.573385
225,9.521431
226,8.736535
227,9.701468
228,8.331446
229,7.5840054
230,8.451603
231,7.7275243
232,8.421361
233,8.73205
234,8.166492
235,9.195886
236,9.742889
237,10.565694
238,6.724731
239,5.7261076
240,5.362536
241,5.298311
242,5.2198696
243,5.6402664
244,5.3534503
245,5.903822
246,6.284698
247,6.2602854
248,5.787528
249,6.078651
250,6.2908134
251,6.535402
252,19.461802
253,21.751795
254,24.404087
255,25.863777
256,23.785679
257,24.080677
258,22.083956
259,21.81998
260,22.043528
261,21.489367
262,21.597757
263,21.350246
264,20.812363
265,20.565825
266,22.124613
267,23.130056
268,23.534262
269,25.06157
270,25.934557
271,25.207476
272,22.526659
273,22.174814
274,23.157158
275,22.097118
276,22.68333
277,21.118872
278,21.005342
279,21.97913
280,32.6058
281,31.193226
282,28.873398
283,29.844921
284,30.013556
285,32.357063
286,32.33695
287,28.121801
288,27.869713
289,27.11844
290,25.591007
291,24.061983
292,22.418917
293,22.863653
294,24.452581
295,24.342274
296,23.793175
297,23.497753
298,22.604057
299,21.052933
300,20.515486
301,20.274548
302,19.675392
303,20.243082
304,19.037664
305,18.999218
306,18.711258
307,18.557869
308,25.101383
309,24.36412
310,21.094316
311,21.4893
312,18.8541
313,19.580328
314,18.426739
315,20.033533
316,22.083841
317,22.350622
318,18.533285
319,22.331547
320,20.130941
321,18.603718
322,23.965881
323,21.865337
324,23.383553
325,21.398382
326,22.036934
327,23.40203
328,23.304617
329,24.147932
330,26.154137
331,24.807661
332,21.97524
333,21.821592
334,19.213041
335,17.328674
336,13.331331
337,13.311879
338,13.299206
339,13.356037
340,13.598845
341,14.093085
342,13.804357
343,13.256779
344,14.049246
345,13.969469
346,13.716072
347,13.589786
348,13.3098955
349,12.911948
350,15.6741
351,16.656044
352,17.813637
353,16.333145
354,15.435674
355,15.066204
356,14.271574
357,14.353117
358,12.779083
359,10.250096
360,10.372381
361,11.204924
362,11.8705225
363,11.917268
364,13.056147
365,12.892267
366,12.820003
367,12.844061
368,12.953272
369,13.157981
370,13.199224
371,13.155111
372,12.823893
373,12.502889
374,12.429132
375,12.410929
376,12.301554
377,11.714667
378,21.191996
379,22.012228
380,22.421377
381,22.308447
382,22.755585
383,22.647917
384,21.822384
385,21.343676
386,21.683372
387,22.102045
388,21.416193
389,20.84155
390,20.720049
391,20.55528
392,26.540426
393,25.75751
394,25.902142
395,25.889942
396,25.51883
397,25.03685
398,25.298824
399,24.3553
400,23.443241
401,22.848852
402,21.95173
403,21.213253
404,20.638138
405,20.325518
406,32.36954
407,30.092089
408,29.874214
409,29.404282
410,27.162
411,25.596045
412,22.958038
413,21.83886
414,20.889235
415,22.691996
416,22.820034
417,23.361004
418,24.099016
419,24.272873
420,12.338138
421,11.414295
422,10.67947
423,10.730884
424,10.045083
425,9.809589
426,8.473325
427,8.996163
428,9.173205
429,9.795069
430,9.730623
431,9.73309
432,8.86258
433,9.118198
434,23.911203
435,23.456202
436,22.836859
437,22.418186
438,22.32145
439,22.375677
440,22.356434
441,21.996754
442,21.600563
443,21.193802
444,21.428844
445,20.73152
446,20.154066
447,20.81612
448,9.752493
449,9.275547
450,10.864778
451,10.705247
452,11.105257
453,10.980532
454,11.720907
455,9.519317
456,10.315136
457,9.165331
458,10.114959
459,9.780918
460,9.246379
461,9.639683
462,26.17268
463,25.295412
464,24.770212
465,24.75386
466,24.263527
467,22.676556
468,21.073519
469,21.216852
470,20.689098
471,21.212223
472,19.810232
473,21.200874
474,20.29326
475,21.48097
476,26.388798
477,25.83531
478,25.611217
479,25.202955
480,25.37834
481,25.228529
482,25.393295
483,24.777369
484,24.74359
485,24.66809
486,24.72872
487,24.846485
488,24.628342
489,24.629215
490,29.041016
491,28.002491
492,23.455513
493,21.333084
494,18.992973
495,20.555227
496,20.451073
497,19.14485
498,18.80652
499,19.245592
500,17.491323
501,16.813679
502,15.561324
503,16.128466
504,22.854345
505,22.05809
506,20.912724
507,20.69755
508,21.039722
509,21.23991
510,21.523277
511,22.08653
512,22.277729
513,22.457047
514,21.263924
515,19.835384
516,18.55428
517,17.930094
518,11.625723
519,11.046131
520,10.918089
521,10.262571
522,9.708555
523,8.878116
524,8.861215
525,9.147593
526,9.702448
527,9.619315
528,9.746587
529,10.453311
530,11.570999
531,11.391263
532,23.47048
533,23.388945
534,21.799809
535,22.30303
536,20.180496
537,16.984442
538,16.583055
539,16.814802
540,14.661734
541,15.895827
542,16.11722
543,16.954157
544,16.585464
545,16.860384
546,15.555532
547,15.167103
548,15.148537
549,15.060534
550,13.815517
551,13.073521
552,13.966977
553,13.780481
554,13.391696
555,12.896555
556,12.611726
557,12.551955
558,12.893655
559,12.520928
