Id,Category
0,1
1,5
2,2
3,5
4,0
5,9
6,3
7,9
8,10
9,5
10,1
11,6
12,10
13,3
14,4
15,9
16,9
17,1
18,9
19,5
20,6
21,9
22,10
23,9
24,9
25,8
26,9
27,1
28,3
29,9
30,3
31,9
32,9
33,5
34,4
35,9
36,3
37,4
38,4
39,9
40,10
41,2
42,8
43,8
44,4
45,5
46,3
47,2
48,0
49,3
50,4
51,3
52,3
53,4
54,6
55,10
56,10
57,10
58,6
59,5
60,4
61,9
62,1
63,2
64,0
65,9
66,3
67,5
68,10
69,2
70,5
71,5
72,9
73,0
74,9
75,6
76,1
77,5
78,1
79,5
80,9
81,5
82,4
83,3
84,5
85,10
86,0
87,4
88,9
89,3
90,2
91,3
92,9
93,4
94,6
95,8
96,4
97,9
98,6
99,8
100,2
101,4
102,0
103,6
104,4
105,1
106,9
107,3
108,4
109,2
110,10
111,3
112,1
113,2
114,3
115,2
116,9
117,0
118,9
119,7
120,10
121,9
122,2
123,8
124,5
125,10
126,4
127,5
128,3
129,4
130,4
131,6
132,0
133,2
134,9
135,1
136,6
137,3
138,0
139,9
140,3
141,10
142,3
143,10
144,5
145,9
146,0
147,6
148,4
149,2
150,8
151,3
152,0
153,1
154,0
155,3
156,4
157,10
158,8
159,8
160,3
161,3
162,9
163,3
164,2
165,6
166,0
167,5
168,9
169,9
170,4
171,8
172,5
173,9
174,6
175,4
176,2
177,3
178,2
179,5
180,2
181,4
182,6
183,1
184,2
185,8
186,2
187,5
188,5
189,8
190,2
191,2
192,3
193,10
194,3
195,6
196,2
197,1
198,5
199,4
200,6
201,5
202,2
203,3
204,5
205,1
206,8
207,1
208,9
209,8
210,2
211,6
212,4
213,8
214,3
215,9
216,9
217,2
218,9
219,1
220,9
221,10
222,0
223,3
224,0
225,9
226,4
227,5
228,7
229,2
230,9
231,7
232,0
233,2
234,10
235,8
236,3
237,3
238,10
239,1
240,2
241,2
242,2
243,4
244,2
245,5
246,2
247,9
248,9
249,2
250,8
251,9
252,10
253,0
254,10
255,4
256,4
257,5
258,8
259,6
260,8
261,2
262,8
263,9
264,1
265,2
266,0
267,1
268,2
269,5
270,2
271,0
272,0
273,10
274,4
275,4
276,0
277,6
278,9
279,9
280,5
281,6
282,2
283,9
284,8
285,2
286,1
287,3
288,2
289,4
290,6
291,9
292,9
293,8
294,5
295,2
296,10
297,6
298,1
299,3
300,2
301,2
302,0
303,3
304,10
305,3
306,3
307,2
308,6
309,9
310,6
311,9
312,0
313,9
314,9
315,3
316,0
317,2
318,1
319,2
320,10
321,3
322,10
323,9
324,10
325,10
326,9
327,6
328,6
329,5
330,4
331,4
332,2
333,9
334,0
335,5
336,2
337,10
338,5
339,3
340,2
341,3
342,5
343,0
344,9
345,2
346,3
347,9
348,3
349,9
350,2
351,2
352,3
353,2
354,2
355,6
356,5
