Id,Category
0,4
1,5
2,3
3,5
4,8
5,9
6,3
7,9
8,10
9,5
10,1
11,6
12,10
13,3
14,4
15,9
16,9
17,3
18,9
19,5
20,6
21,9
22,10
23,9
24,9
25,5
26,9
27,9
28,3
29,9
30,4
31,9
32,9
33,5
34,9
35,9
36,5
37,4
38,5
39,9
40,10
41,5
42,8
43,8
44,4
45,5
46,3
47,0
48,0
49,3
50,4
51,3
52,6
53,4
54,6
55,10
56,10
57,10
58,1
59,5
60,4
61,9
62,1
63,2
64,0
65,5
66,3
67,5
68,5
69,2
70,5
71,5
72,5
73,4
74,9
75,6
76,1
77,5
78,1
79,5
80,9
81,5
82,4
83,8
84,5
85,4
86,3
87,4
88,9
89,3
90,2
91,3
92,9
93,4
94,6
95,8
96,4
97,9
98,6
99,8
100,9
101,4
102,0
103,4
104,4
105,9
106,9
107,3
108,4
109,2
110,10
111,3
112,2
113,9
114,3
115,2
116,4
117,0
118,9
119,7
120,10
121,9
122,3
123,8
124,5
125,10
126,4
127,5
128,3
129,4
130,4
131,6
132,0
133,0
134,9
135,1
136,6
137,3
138,0
139,9
140,3
141,10
142,3
143,10
144,5
145,9
146,0
147,6
148,4
149,5
150,8
151,3
152,0
153,1
154,0
155,4
156,4
157,10
158,8
159,2
160,0
161,3
162,9
163,0
164,4
165,6
166,3
167,5
168,9
169,9
170,4
171,4
172,5
173,9
174,10
175,4
176,2
177,3
178,2
179,5
180,2
181,4
182,6
183,5
184,2
185,8
186,1
187,0
188,5
189,8
190,2
191,2
192,3
193,10
194,3
195,9
196,9
197,1
198,5
199,4
200,6
201,5
202,1
203,3
204,5
205,1
206,8
207,10
208,0
209,8
210,2
211,6
212,4
213,8
214,3
215,9
216,9
217,2
218,9
219,1
220,0
221,10
222,0
223,3
224,0
225,9
226,4
227,5
228,7
229,2
230,9
231,7
232,0
233,1
234,10
235,8
236,3
237,3
238,10
239,0
240,2
241,2
242,9
243,4
244,2
245,5
246,2
247,5
248,9
249,2
250,8
251,9
252,10
253,0
254,10
255,4
256,4
257,5
258,8
259,6
260,8
261,2
262,9
263,9
264,2
265,2
266,0
267,1
268,2
269,5
270,2
271,8
272,0
273,10
274,2
275,4
276,0
277,0
278,9
279,9
280,5
281,6
282,2
283,5
284,8
285,9
286,1
287,3
288,2
289,3
290,6
291,9
292,9
293,8
294,5
295,2
296,10
297,6
298,1
299,3
300,0
301,1
302,0
303,3
304,10
305,3
306,3
307,1
308,6
309,9
310,4
311,9
312,0
313,9
314,9
315,3
316,3
317,2
318,1
319,2
320,10
321,4
322,10
323,9
324,8
325,10
326,9
327,6
328,6
329,5
330,0
331,4
332,2
333,9
334,7
335,5
336,2
337,10
338,5
339,3
340,3
341,3
342,0
343,0
344,9
345,2
346,3
347,9
348,3
349,9
350,4
351,0
352,3
353,2
354,1
355,6
356,5
357,8
358,7
359,9
360,3
361,9
362,10
363,0
364,3
365,4
366,5
367,9
368,9
369,3
370,0
371,5
372,1
373,7
374,4
375,8
376,4
377,0
378,3
379,10
380,9
381,5
382,9
383,7
384,4
385,4
386,4
387,5
388,5
389,4
390,4
391,6
392,0
393,2
394,8
395,3
396,6
397,3
398,4
399,3
400,9
401,2
402,9
403,4
404,0
405,5
406,9
407,5
408,5
409,2
410,0
411,10
412,0
413,5
414,4
415,9
416,0
417,9
418,6
419,0
420,9
421,10
422,2
423,1
424,9
425,1
426,0
427,0
428,9
429,9
430,3
431,2
432,9
433,8
434,1
435,0
436,10
437,6
438,4
439,2
440,4
441,0
442,2
443,3
444,5
445,4
446,5
447,8
448,6
449,2
450,2
451,1
452,0
453,4
454,9
455,10
456,6
457,4
458,0
459,0
460,9
461,4
462,4
463,1
464,5
465,9
466,0
467,0
468,4
469,3
470,9
471,0
472,6
473,9
474,1
475,9
476,3
477,4
478,9
479,5
480,9
481,5
482,10
483,4
484,9
485,2
486,0
487,8
488,5
489,0
490,0
491,5
492,8
493,6
494,3
495,5
496,3
497,0
498,4
499,3
500,1
501,9
502,0
503,0
504,4
505,10
506,8
507,2
508,8
509,1
510,2
511,9
512,8
513,10
514,2
515,9
516,9
517,3
518,3
519,4
520,0
521,10
522,5
523,10
524,9
525,7
526,7
527,5
528,0
529,4
530,9
531,10
532,6
533,8
534,5
535,5
536,1
537,3
538,6
539,4
540,2
541,7
542,10
543,9
544,8
545,10
546,2
547,3
548,2
549,10
550,2
551,4
552,7
553,8
554,2
555,2
556,5
557,8
558,5
559,2
560,8
561,9
562,9
563,4
564,4
565,1
566,8
567,9
568,1
569,2
570,9
571,6
572,1
573,3
574,2
575,0
576,9
577,2
578,0
579,5
580,5
581,0
582,3
583,9
584,8
585,9
586,3
587,10
588,9
589,9
590,4
591,5
592,6
593,6
594,3
595,0
596,2
597,3
598,9
599,9
600,0
601,8
602,4
603,9
604,9
605,0
606,9
607,3
608,10
609,9
610,9
611,4
612,3
613,10
614,10
615,6
616,9
617,3
618,2
619,5
620,3
621,8
622,3
623,1
624,9
625,3
626,0
627,3
628,5
629,9
630,1
631,2
632,2
633,5
634,3
635,9
636,8
637,4
638,8
639,7
640,5
641,0
642,5
643,9
644,2
645,10
646,5
647,5
648,8
649,1
650,4
651,0
652,3
653,3
654,5
655,8
656,5
657,4
658,9
659,9
660,4
661,0
662,10
663,10
664,2
665,10
666,10
667,10
668,4
669,4
670,10
671,9
672,2
673,5
674,7
675,6
676,9
677,3
678,8
679,4
680,7
681,6
682,7
683,1
684,9
685,9
686,5
687,4
688,10
689,3
690,7
691,0
692,9
693,2
694,5
695,9
696,5
697,2
698,5
699,0
700,9
701,0
702,2
703,10
704,7
705,9
706,8
707,9
708,4
709,5
710,1
711,5
712,5
713,5
714,2
715,5
716,0
717,2
718,5
719,10
720,5
721,6
722,9
723,2
724,6
725,0
726,3
727,2
728,6
729,4
730,4
731,10
732,3
733,9
734,4
735,4
736,1
737,1
738,0
739,1
740,9
741,3
742,6
743,8
744,2
745,0
746,5
747,6
748,9
749,1
750,0
751,10
752,9
753,5
754,8
755,2
756,1
757,10
758,8
759,5
760,3
761,4
762,6
763,1
764,5
765,8
766,2
767,4
768,10
769,10
770,0
771,5
772,1
773,5
774,5
775,10
776,9
777,10
778,2
779,8
780,0
781,0
782,0
783,4
784,9
785,3
786,6
787,3
788,10
789,4
790,5
791,9
792,5
793,3
794,4
795,3
796,8
797,4
798,0
799,6
800,5
801,3
802,0
803,1
804,9
805,0
806,0
807,5
808,3
809,0
810,4
811,6
812,5
813,6
814,9
815,5
816,10
817,0
818,10
819,3
820,2
821,2
822,6
823,5
824,9
825,9
826,6
827,9
828,7
829,3
830,7
831,9
832,8
833,8
834,9
835,2
836,10
837,5
838,2
839,6
840,3
841,3
842,8
843,8
844,7
845,8
846,2
847,9
848,1
849,5
850,1
851,7
852,9
853,9
854,9
855,8
856,8
857,0
858,9
859,5
860,7
861,4
862,4
863,5
864,10
865,9
866,8
867,0
868,10
869,9
870,8
871,4
872,9
873,3
874,7
875,5
876,10
877,9
878,2
879,8
880,5
881,9
882,0
883,8
884,2
885,1
886,7
887,5
888,3
889,8
890,10
891,0
892,1
893,9
894,1
895,5
896,9
897,0
898,4
899,4
900,9
901,5
902,10
903,9
904,5
905,3
906,6
907,8
908,2
909,10
910,9
911,9
912,3
913,9
914,10
915,9
916,0
917,5
918,8
919,8
920,6
921,0
922,0
923,0
924,5
925,9
926,3
927,3
928,3
929,4
930,4
931,4
932,4
933,8
934,10
935,10
936,9
937,3
938,10
939,5
940,2
941,0
942,8
943,7
944,0
945,9
946,2
947,3
948,0
949,4
950,0
951,8
952,0
953,3
954,10
955,8
956,9
957,8
958,2
959,8
960,9
961,2
962,7
963,4
964,10
965,9
966,5
967,10
968,9
969,2
970,9
971,9
972,4
973,5
974,7
975,9
976,9
977,1
978,5
979,3
980,9
981,0
982,3
983,2
984,9
985,2
986,7
987,9
988,4
989,5
990,4
991,3
992,8
993,4
994,3
995,3
996,9
997,9
998,10
999,5
1000,4
1001,9
1002,10
1003,10
1004,1
1005,10
1006,8
1007,1
1008,9
1009,8
1010,9
1011,9
1012,9
1013,9
1014,6
1015,8
1016,3
1017,3
1018,4
1019,2
1020,9
1021,4
1022,5
1023,4
1024,2
1025,1
1026,4
1027,1
1028,2
1029,8
1030,1
1031,10
1032,2
1033,8
1034,1
1035,8
1036,2
1037,2
1038,3
1039,4
1040,6
1041,4
1042,8
