ID,Answer
0,磷酸化酶
1,縱貫公路系統
2,六茶六酒
3,唐王朝滅亡之後
4,防止地方割據
5,史達林時期
6,權知開封府事
7,營口市
8,摩利爾法學院
9,細胞壁
10,2004年5月1日
11,蔣委員長會見記
12,催化劑
13,查士丁尼一世
14,荊州
15,2011年
16,非洲
17,擁有世界自然遺產
18,2050年
19,西南
20,15萬
21,全國人大
22,耶穌會
23,合成代謝反應
24,跳躍運動
25,貝里斯
26,8個
27,君士坦丁大帝
28,新桂系
29,近300萬平方公里
30,漢末大量社會名士
31,空降戰役
32,格里高利
33,數位化字體
34,周磐
35,1924年
36,飄色巡遊
37,韓國
38,社會生態學意識形態
39,農業
40,30處
41,三茶兩飯一宵夜
42,摩西律法
43,諾曼人
44,2007年
45,38.1釐米
46,19世紀
47,28個
48,波動傳播
49,多數黨
50,手套
51,主任
52,段文昌
53,1964年
54,加利福尼亞州舊金山
55,[UNK]草浚泉
56,席哈克略王朝
57,柏林
58,因為土地有限
59,爵士鼓
60,南歐
61,三國食貨志
62,親任官
63,道宣
64,纏卷的尾巴
65,柑桔
66,永野修身
67,努爾哈赤
68,君主制
69,反戰派系
70,清朝
71,安聯球場
72,衞生局
73,疆域
74,安茹公爵
75,1648年
76,1973年
77,周禮盡在魯矣
78,550
79,三樓
80,2013年3月
81,奇首可汗
82,豎琴
83,海嘯預警系統
84,福建籍
85,2008年
86,外省人
87,基督教之前
88,左傳
89,准宗教現象
90,地球公轉
91,英法北美戰爭
92,有許多人所做的工作，都可以歸類為動畫作品的創作
93,1976年
94,1000
95,防止動亂的作用
96,1968年
97,定格動畫
98,新北市
99,卡特
100,將軍墳
101,印度洋孟加拉灣
102,中世紀
103,光緒二十一年
104,卡爾馬克思
105,盈利組織
106,熊廷弼
107,一九七一年
108,日本投降
109,287所
110,20所
111,中國美的集團
112,9個
113,乙酸生成作用
114,33歲
115,保守派
116,早在西元前7世紀這裡已是該地區最早的高等學校所在地
117,王安石
118,1964年
119,亞拉姆語
120,朝鮮王朝後期
121,太湖片
122,布爾什維克
123,玻恩
124,威爾斯
125,缺乏細胞壁
126,1950年代
127,曼徹斯特市球場
128,朱[UNK]
129,最好
130,2012年
131,胡族文化
132,37.9%
133,自然科學
134,全國人民代表大會
135,青壯年
136,第二次世界大戰
137,域
138,中原
139,春節
140,年度射擊測驗
141,1995年
142,先以水墨鉤勒皴染為基礎，加上以赭石為主色的淡彩山水畫
143,施萊爾馬赫
144,廣州市歷史文化名城保護規劃
145,他們不實行墓葬
146,2012年
147,庫氏裸蕨
148,1969年
149,長春
150,堅尼地城站
151,北美洲
152,光緒二十五年
153,新教勢力日漸龐大，二是土耳其人在東方虎視眈眈準備席捲歐洲大陸
154,清析度
155,馬卡比起義
156,1900年
157,古代印度史
158,長波輻射
159,1950年
160,1906公里
161,皇帝
162,制度
163,胚種論
164,1919年
165,26億圓
166,柬埔寨國王吉哲塔二世
167,部族
168,朝鮮
169,副熱帶高壓
170,憲法
171,漁米之鄉
172,1967年
173,睪固酮
174,2001年
175,資源動員理論
176,國立大學
177,1960年
178,39.9兆公里
179,10月
180,2004年
181,莎士比亞
182,東南亞
183,吉尼係數
184,朱棣
185,二次世界大戰
186,什列斯威及霍爾斯坦兩省的管轄權
187,法國
188,去民政局登記所屬的縣區
189,赫爾伯特·查普曼
190,販賣黑奴
191,音節真正發音時
192,2011年
193,4萬年前
194,1906年
195,1937
196,三溪園
197,國民年滿18歲，具有多國居民身分
198,18世紀
199,1869年
200,卡特
201,這個單詞發音時是否插入了聲門塞音
202,1970年
203,吳江區
204,神廟建築
205,其生前逝後各種瑞相酷似佛經中記載的地藏菩薩
206,中國
207,赤崎勇
208,受到了諸多強大外敵的衝擊
209,巴西足球協會
210,改進電視專案小組
211,特拉維夫
212,農業
213,比薩會議
214,地方行政
215,棕櫚樹
216,3468戶
217,洛東江
218,穆罕默德
219,授權非洲聯盟在索馬利亞部署維和部隊
220,海上絲綢之路
221,二元投票制度
222,嗣位法令
223,德屬西南非洲
224,多明尼加比索
225,水鐘
226,飲食文化
227,832米
228,中華人民共和國
229,文慶
230,9世紀
231,共生關係
232,版權
233,少年班
234,實踐科學
235,古典時期
236,小腸
237,文理學院
238,《樂府詩集》
239,44種
240,梯里達底一世
241,道德
242,6600萬年
243,1970年代
244,361萬
245,俄羅斯
246,主要的小行星帶內的天體
247,數十億歐元
248,恆河猴
249,古東斯拉夫語
250,1947年
251,史達林
252,下薩克森邦
253,古羅馬建築
254,向社會公開徵求意見
255,統一黨
256,##30米
257,少雨
258,振動
259,白人
260,保持與政府的相對獨立
261,過度放牧
262,塔西陀
263,《綏靖區土地處理辦法》
264,1900年
265,如何在作戰中獲得勝利
266,吳淞江
267,美國
268,阿爾及利亞
269,1935年
270,亨利珀賽爾
271,成宗
272,2013年4月
273,東正教
274,劉璋
275,《埃涅阿斯紀》
276,15世紀
277,脖子
278,「知新致遠崇實篤行」
279,努爾哈赤
280,薛丁格
281,美國
282,仁慈博愛
283,布爾什維克黨
284,希臘文
285,2012年
286,減少
287,1804年
288,木星
289,無錫古梅里
290,國務卿約翰昆西亞當斯
291,空氣的上升運動，造成氣溫下降
292,沒有
293,約翰克恩
294,1949年
295,《神秘蠟像館》
296,宣統三年
297,1205米
298,亞洲太平洋經濟合作會議
299,庫齊烏斯
300,破壞選擇
301,2008年
302,西敏市
303,層次模型
304,米爾頓·傅利曼
305,叢枝菌根
306,無政府和平主義
307,物價指數
308,香港中文大學
309,繞土星物質
310,《北京條約》
311,無錫東站
312,最安全
313,徐特立
314,羅蒙索諾夫
315,2017年
316,蘇聯專業化
317,母親
318,平原
319,電腦
320,香港
321,早稻田大學
322,蘇德互不侵犯條約
323,亞美尼亞人
324,80
325,偏義複詞
326,大村純忠
327,7天
328,狒狒蜘蛛
329,《中英關於取消英國在華治外法權及其有關特權條約》
330,第三
331,陳清福
332,天可汗
333,美國勞工聯合會
334,弘前市
335,氫氣
336,拉丁字母
337,國王近身侍衛
338,22座
339,沙加緬度河
340,1997年6月30日
341,8%
342,文章節義之邦
343,天文年編號法
344,學生會
345,下視丘滲透壓感應器
346,文治元年
347,757年
348,俄羅斯
349,被壓迫的
350,牛津路
351,荷治時期
352,天主教
353,臺灣省議會
354,長頸鹿科
355,4秒
356,介電氣體
357,邁克布朗
358,廢諸州總管府
359,重視公共建築
360,美國國家航空暨太空總署
361,法國
362,1800年
363,409米
364,美軍
365,第一次
366,觸覺功能
367,1249年
368,1936年
369,1922年
370,96所
371,徐州市區
372,正字法改革
373,臨安市
374,通過將菸鹼醯胺腺嘌呤二核苷酸還原為菸鹼醯胺腺嘌呤二核苷酸
375,「[UNK]」
376,蔣中正
377,第二年
