Id,Category
0,2
1,5
2,3
3,5
4,6
5,9
6,3
7,9
8,10
9,5
10,2
11,6
12,10
13,3
14,4
15,9
16,4
17,8
18,9
19,5
20,6
21,9
22,10
23,9
24,9
25,8
26,9
27,1
28,3
29,9
30,4
31,9
32,0
33,5
34,4
35,9
36,0
37,4
38,4
39,6
40,10
41,2
42,8
43,8
44,4
45,4
46,5
47,3
48,0
49,4
50,4
51,3
52,0
53,4
54,6
55,10
56,10
57,10
58,2
59,5
60,4
61,9
62,10
63,0
64,0
65,5
66,3
67,1
68,10
69,2
70,5
71,5
72,9
73,4
74,5
75,6
76,4
77,5
78,1
79,5
80,10
81,5
82,4
83,6
84,5
85,7
86,0
87,4
88,6
89,3
90,2
91,3
92,9
93,4
94,6
95,5
96,7
97,9
98,6
99,8
100,2
101,4
102,0
103,7
104,4
105,2
106,5
107,0
108,2
109,3
110,10
111,3
112,1
113,2
114,3
115,2
116,4
117,4
118,9
119,7
120,10
121,9
122,7
123,8
124,5
125,10
126,4
127,5
128,4
129,0
130,4
131,6
132,0
133,2
134,9
135,1
136,6
137,3
138,0
139,9
140,5
141,4
142,3
143,10
144,1
145,9
146,0
147,6
148,4
149,5
150,8
151,0
152,0
153,1
154,0
155,3
156,4
157,10
158,8
159,8
160,0
161,3
162,9
163,0
164,4
165,6
166,7
167,5
168,9
169,9
170,5
171,8
172,5
173,9
174,6
175,4
176,2
177,3
178,0
179,5
180,2
181,4
182,6
183,3
184,5
185,8
186,1
187,0
188,5
189,2
190,2
191,2
192,3
193,10
194,3
195,6
196,2
197,2
198,5
199,4
200,6
201,1
202,5
203,3
204,2
205,1
206,8
207,2
208,3
209,8
210,2
211,3
212,4
213,4
214,3
215,9
216,8
217,2
218,8
219,1
220,4
221,10
222,0
223,3
224,0
225,2
226,4
227,4
228,7
229,6
230,9
231,7
232,3
233,2
234,10
235,8
236,3
237,0
238,10
239,4
240,2
241,2
242,6
243,2
244,2
245,6
246,2
247,8
248,9
249,2
250,8
251,9
252,10
253,0
254,10
255,4
256,7
257,8
258,3
259,6
260,8
261,2
262,2
263,9
264,2
265,2
266,0
267,1
268,2
269,5
270,8
271,0
272,0
273,10
274,0
275,4
276,0
277,0
278,5
279,9
280,5
281,6
282,8
283,5
284,8
285,2
286,2
287,3
288,1
289,3
290,6
291,2
292,6
293,8
294,1
295,2
296,10
297,6
298,3
299,2
300,1
301,4
302,4
303,0
304,10
