Id,Category
0,4
1,10
2,3
3,5
4,7
5,9
6,3
7,9
8,10
9,5
10,4
11,6
12,10
13,3
14,4
15,9
16,9
17,9
18,9
19,5
20,6
21,9
22,10
23,9
24,9
25,8
26,9
27,1
28,3
29,9
30,0
31,9
32,2
33,5
34,4
35,9
36,0
37,4
38,4
39,9
40,10
41,9
42,8
43,8
44,4
45,4
46,3
47,3
48,0
49,4
50,4
51,3
52,2
53,4
54,6
55,10
56,10
57,10
58,2
59,5
60,4
61,9
62,1
63,2
64,2
65,5
66,3
67,1
68,10
69,2
70,5
71,5
72,9
73,4
74,2
75,6
76,4
77,5
78,7
79,4
80,9
81,5
82,1
83,8
84,5
85,7
86,0
87,4
88,5
89,3
90,2
91,3
92,9
93,4
94,6
95,5
96,4
97,9
98,6
99,8
100,1
101,4
102,0
103,7
104,4
105,2
106,2
107,3
108,2
109,2
110,10
111,3
112,1
113,2
114,3
115,2
116,4
117,7
118,9
119,7
120,10
121,9
122,6
123,1
124,5
125,10
126,4
127,5
128,9
129,4
130,4
131,6
132,7
133,2
134,9
135,1
136,6
137,1
138,0
139,9
140,3
141,9
142,3
143,10
144,1
145,9
146,0
147,6
148,4
149,5
150,8
151,0
152,0
153,1
154,0
155,3
156,4
157,10
158,8
159,8
160,2
161,3
162,9
163,6
164,2
165,6
166,6
167,5
168,9
169,9
170,4
171,4
172,5
173,9
174,6
175,4
176,2
177,3
178,6
179,5
180,2
181,4
182,2
183,3
184,2
185,8
186,4
187,5
188,0
189,0
190,2
191,2
192,3
193,10
194,3
195,4
196,4
197,5
198,5
199,4
200,2
201,5
202,9
203,3
204,5
205,1
206,8
207,10
208,3
209,8
210,2
211,3
212,4
213,4
214,3
215,9
216,1
217,4
218,10
219,1
220,1
221,10
222,0
223,3
224,0
225,9
226,4
227,5
228,7
229,5
230,9
231,7
232,3
233,2
234,10
235,8
236,1
237,0
238,10
239,2
240,2
241,4
242,10
243,4
244,2
245,3
246,9
247,1
248,9
249,2
250,8
251,9
252,10
253,0
254,10
255,4
256,7
257,8
258,5
259,6
260,8
261,2
262,8
263,9
264,4
265,2
266,3
267,2
268,2
269,5
270,5
271,0
272,0
273,10
274,4
275,2
276,0
277,6
278,2
279,9
280,5
281,6
282,8
283,2
284,8
285,2
286,1
287,3
288,9
289,3
290,6
291,9
292,6
293,8
294,5
295,2
296,10
297,6
298,1
299,1
300,1
301,1
302,3
303,3
304,10
305,3
306,3
307,1
308,6
309,9
310,6
311,9
312,0
313,9
314,9
315,3
316,1
317,2
318,1
319,2
320,3
321,6
322,10
323,9
324,10
325,10
326,9
327,6
328,6
329,5
330,4
331,4
332,3
333,9
334,2
335,5
336,7
337,5
338,2
339,10
340,4
341,3
342,5
343,4
344,8
345,2
346,1
347,3
348,3
349,9
350,2
351,0
352,3
353,2
354,2
355,6
356,5
357,8
358,7
359,9
360,4
361,8
362,10
363,0
364,3
365,4
366,4
367,9
368,9
369,5
370,0
371,5
372,1
373,7
374,4
375,8
376,4
377,0
378,3
379,10
380,9
381,1
382,9
383,7
384,4
385,1
386,2
387,5
388,5
389,4
390,4
391,2
392,3
393,2
394,8
395,3
396,7
397,1
398,4
399,10
400,1
401,9
402,9
403,4
404,2
405,2
406,9
407,5
408,7
409,2
410,2
411,10
412,2
413,2
414,0
415,9
416,0
417,3
418,6
419,0
420,9
421,4
422,1
423,1
424,2
425,1
426,0
427,0
428,9
429,1
430,1
431,2
432,9
433,1
434,4
435,0
436,4
437,6
438,4
439,2
440,4
441,3
442,3
443,1
444,3
445,4
446,0
447,8
448,2
449,6
450,2
451,1
452,3
453,4
454,8
455,10
456,6
457,4
458,8
459,4
460,6
461,9
462,4
463,1
464,5
465,9
466,1
467,0
468,4
469,3
470,9
471,0
472,6
473,6
474,1
475,9
476,7
477,0
478,0
479,5
480,9
481,3
482,10
483,5
484,1
485,1
486,1
487,8
488,6
489,0
490,0
491,5
492,0
493,7
494,10
495,8
496,4
497,0
498,4
499,1
500,2
501,9
502,0
503,0
504,6
505,10
506,8
507,2
508,8
509,1
510,4
511,9
512,8
513,10
514,2
515,9
516,7
517,2
518,3
519,9
520,0
521,1
522,4
523,10
524,9
525,7
526,7
527,0
528,0
529,4
530,9
531,8
532,6
533,6
534,5
535,2
536,1
537,8
538,6
539,4
540,2
541,7
542,10
543,9
544,8
545,10
546,2
547,3
548,2
549,10
550,9
551,0
552,7
553,8
554,8
555,1
556,2
557,10
558,5
559,3
560,4
561,9
562,9
563,4
564,4
565,2
566,8
567,1
568,0
569,2
570,1
571,6
572,1
573,3
574,2
575,0
576,9
577,2
578,2
579,5
580,6
581,0
582,3
583,9
584,8
585,9
586,2
587,10
588,9
589,9
590,4
591,5
592,6
593,6
594,3
595,3
596,2
597,3
598,7
599,9
600,4
601,1
602,8
603,5
604,9
605,7
606,9
607,3
608,10
609,9
610,9
611,6
612,2
613,10
614,10
615,6
616,9
617,0
618,2
619,7
620,3
621,5
622,3
623,1
624,9
625,4
626,6
627,3
628,5
629,9
630,2
631,2
632,2
633,5
634,3
635,9
636,8
637,4
638,8
639,7
640,2
641,3
642,5
643,1
644,2
645,10
646,5
647,5
648,8
649,2
650,4
651,0
652,1
653,9
654,3
655,8
656,2
657,2
658,9
659,2
660,4
661,9
662,10
663,10
664,4
665,8
666,10
667,10
668,4
669,10
670,10
671,9
672,2
673,5
674,7
675,6
676,9
677,3
678,8
679,4
680,7
681,6
682,7
683,1
684,10
685,9
686,5
687,4
688,10
689,3
690,7
691,8
692,9
693,2
694,5
695,2
696,2
697,1
698,10
699,0
700,2
701,1
702,2
703,10
704,7
705,0
706,8
707,5
708,4
709,5
710,2
711,5
712,5
713,7
714,2
715,5
716,0
717,3
718,2
719,10
720,9
721,6
722,2
723,1
724,6
725,6
726,3
727,2
728,6
729,4
730,4
731,10
732,3
733,9
734,0
735,4
736,1
737,1
738,1
739,9
740,1
741,4
742,6
743,8
744,5
745,0
746,5
747,6
748,9
749,1
750,1
751,10
752,4
753,5
754,10
755,1
756,1
757,2
758,8
759,4
760,3
761,4
762,3
763,1
764,5
765,8
766,10
767,1
768,2
769,10
770,3
771,5
772,1
773,1
774,5
775,10
776,9
777,10
778,2
779,8
780,2
781,4
782,2
783,4
784,9
785,3
786,6
787,3
788,5
789,4
790,6
791,9
792,5
793,3
794,4
795,0
796,8
797,4
798,2
799,6
800,5
801,3
802,0
803,1
804,9
805,0
806,0
807,5
808,3
809,0
810,1
811,6
812,5
813,3
814,9
815,6
816,10
817,9
818,10
819,1
820,1
821,2
822,6
823,5
824,9
825,9
826,4
827,1
828,7
829,10
830,7
831,9
832,8
833,5
834,9
835,2
836,10
837,1
838,2
839,2
840,3
841,3
842,2
843,8
844,1
845,8
846,2
847,10
848,1
849,5
850,1
851,0
852,9
853,9
854,9
855,4
856,8
857,5
858,4
859,5
860,7
861,7
862,4
863,8
864,10
865,2
866,4
867,0
868,10
869,9
870,3
871,4
872,9
873,0
874,5
875,5
876,10
877,9
878,7
879,4
880,4
881,9
882,0
883,8
884,2
885,2
886,7
887,5
888,5
889,4
890,10
891,0
892,4
893,9
894,1
895,4
896,9
897,0
898,4
899,4
900,9
901,5
902,10
903,9
904,4
905,3
906,6
907,8
908,2
909,4
910,3
911,9
912,3
913,9
914,9
915,9
916,4
917,5
918,2
919,0
920,6
921,0
922,0
923,5
924,5
925,9
926,3
927,3
928,3
929,6
930,4
931,4
932,4
933,8
934,10
935,10
936,7
937,0
938,10
939,5
940,2
941,4
942,8
943,7
944,0
945,9
946,4
947,5
948,0
949,4
950,0
951,8
952,0
953,4
954,10
955,8
956,9
957,8
958,5
959,8
960,9
961,2
962,7
963,4
964,10
965,9
966,5
967,10
968,9
969,6
970,9
971,9
972,4
973,5
974,7
975,1
976,3
977,2
978,5
979,3
980,9
981,0
982,3
983,2
984,9
985,8
986,2
987,9
988,4
989,5
990,9
991,3
992,0
993,4
994,3
995,3
996,10
997,9
998,10
999,5
1000,4
1001,1
1002,10
1003,10
1004,3
1005,8
1006,8
1007,5
1008,9
1009,8
1010,4
1011,2
1012,9
1013,1
1014,6
1015,8
1016,6
1017,3
1018,4
1019,4
1020,1
1021,0
1022,5
1023,4
1024,2
1025,2
1026,3
1027,3
1028,4
1029,8
1030,1
1031,10
1032,1
1033,1
1034,2
1035,8
1036,2
1037,10
1038,3
1039,4
1040,7
1041,4
1042,7
1043,2
1044,9
1045,6
1046,9
1047,3
1048,2
1049,7
1050,5
1051,3
1052,4
1053,3
1054,9
1055,3
1056,10
1057,1
1058,4
1059,9
1060,6
1061,0
1062,0
1063,0
1064,8
1065,3
1066,8
1067,8
1068,9
1069,10
1070,4
1071,10
1072,3
1073,0
1074,4
1075,3
1076,9
1077,5
1078,3
1079,3
1080,7
1081,9
1082,3
1083,0
1084,0
1085,1
1086,4
1087,3
1088,6
1089,8
1090,3
1091,9
1092,6
1093,5
1094,0
1095,4
1096,5
1097,2
1098,0
1099,5
1100,2
1101,9
1102,8
1103,8
1104,8
1105,2
1106,9
1107,5
1108,3
1109,8
1110,2
1111,4
1112,1
1113,0
1114,3
1115,9
1116,2
1117,4
1118,9
1119,2
1120,5
1121,4
1122,4
1123,5
1124,2
1125,0
1126,0
1127,4
1128,6
1129,9
1130,8
1131,2
1132,5
1133,9
1134,5
1135,4
1136,1
1137,10
1138,0
1139,9
1140,2
1141,2
1142,9
1143,9
1144,4
1145,3
1146,2
1147,5
1148,9
1149,8
1150,5
1151,3
1152,6
1153,0
1154,8
1155,8
1156,3
1157,7
1158,3
1159,5
1160,3
1161,5
1162,6
1163,2
1164,4
1165,6
1166,4
1167,4
1168,1
1169,0
1170,4
1171,10
1172,10
1173,4
1174,5
1175,8
1176,4
1177,4
1178,10
1179,1
1180,4
1181,5
1182,7
1183,9
1184,2
1185,0
1186,5
1187,8
1188,0
1189,0
1190,8
1191,0
1192,2
1193,10
1194,5
1195,2
1196,2
1197,6
1198,3
1199,2
1200,4
1201,4
1202,6
1203,2
1204,0
